Year,Homicide Mortality Rate,Firearm Mortality Rate,Log-Transform Homicide Mortality Rate
year2014,8.1,16.9,9.1
year2014,4.7,19.2,5.7
year2014,5,13.5,6
year2014,7.7,16.6,8.7
year2014,4.6,7.4,5.6
year2014,3.3,12.2,4.3
year2014,2.9,5,3.9
year2014,6.6,11.1,7.6
year2014,6.2,11.5,7.2
year2014,6.6,13.7,7.6
year2014,2.2,2.6,3.2
year2014,2.4,13.2,3.4
year2014,6.2,9,7.2
year2014,5.7,12.4,6.7
year2014,2.5,7.5,3.5
year2014,3.6,11.3,4.6
year2014,4.7,13.9,5.7
year2014,11.7,19,12.7
year2014,2,9.4,3
year2014,6.7,9,7.7
year2014,2,3.2,3
year2014,6.3,11.1,7.3
year2014,1.9,6.6,2.9
year2014,11.4,18.3,12.4
year2014,7.5,15.3,8.5
year2014,2.9,16.1,3.9
year2014,3.4,9.5,4.4
year2014,6.3,14.8,7.3
year2014,0,8.7,1
year2014,4.4,5.3,5.4
year2014,6.8,16,7.8
year2014,3.4,4.2,4.4
year2014,5.6,11.8,6.6
year2014,0,12.3,1
year2014,5.2,10.3,6.2
year2014,6.6,15.7,7.6
year2014,2.4,11.7,3.4
year2014,5.2,10.5,6.2
year2014,2.5,3,3.5
year2014,7.6,15.5,8.6
year2014,3.1,10.3,4.1
year2014,6.5,15.1,7.5
year2014,5.2,10.7,6.2
year2014,2,12.3,3
year2014,0,10.3,1
year2014,4.1,10.3,5.1
year2014,3.1,9.7,4.1
year2014,5.9,14.6,6.9
year2014,3,8.2,4
year2014,4.4,16.2,5.4
year2015,10.2,19.6,11.2
year2015,8,23.4,9
year2015,5.5,13.8,6.5
year2015,7.4,16.9,8.4
year2015,5,7.7,6
year2015,3.7,12.6,4.7
year2015,3.6,5.3,4.6
year2015,7.5,12.1,8.5
year2015,6.3,12,7.3
year2015,7.3,14.1,8.3
year2015,2.2,3.6,3.2
year2015,2,14.7,3
year2015,6.9,9.5,7.9
year2015,6,12.7,7
year2015,2.5,7.8,3.5
year2015,4.7,11.4,5.7
year2015,5.8,15.2,6.8
year2015,12.4,20.4,13.4
year2015,1.7,9.8,2.7
year2015,10.3,11.9,11.3
year2015,2.1,3,3.1
year2015,6.4,11.7,7.4
year2015,2.8,7.4,3.8
year2015,11.3,19.6,12.3
year2015,9.6,18.1,10.6
year2015,4,19.2,5
year2015,4,8.9,5
year2015,6.7,14.9,7.7
year2015,0,8.9,1
year2015,4.5,5.4,5.5
year2015,8,18.6,9
year2015,3.4,4.2,4.4
year2015,6.1,12.5,7.1
year2015,3.1,12.8,4.1
year2015,6,11.9,7
year2015,8.5,18,9.5
year2015,3.4,11.4,4.4
year2015,5.6,11.4,6.6
year2015,2.8,4.7,3.8
year2015,9.5,17.3,10.5
year2015,4.2,11.1,5.2
year2015,7.2,16,8.2
year2015,5.6,11.7,6.6
year2015,2,12.8,3
year2015,0,9.6,1
year2015,4.5,10.9,5.5
year2015,3.4,9.8,4.4
year2015,4.5,14,5.5
year2015,4.5,10.4,5.5
year2015,,19.6,1
year2016,11.8,21.5,12.8
year2016,7.3,23.3,8.3
year2016,6.3,15.2,7.3
year2016,8.7,17.8,9.7
year2016,5.3,7.9,6.3
year2016,4.3,14.3,5.3
year2016,2.7,4.6,3.7
year2016,7,11,8
year2016,6.8,12.6,7.8
year2016,7.9,15,8.9
year2016,2.8,4.5,3.8
year2016,1.9,14.6,2.9
year2016,9.2,11.7,10.2
year2016,7.6,15,8.6
year2016,2.8,9.2,3.8
year2016,5.3,13.4,6.3
year2016,7.2,17.5,8.2
year2016,0,21.3,1
year2016,0,8.3,1
year2016,10.1,11.9,11.1
year2016,2.1,3.4,3.1
year2016,6.7,12.3,7.7
year2016,2.4,7.6,3.4
year2016,12.1,19.9,13.1
year2016,9.9,19,10.9
year2016,4.3,18.9,5.3
year2016,3.3,9.1,4.3
year2016,7.4,16.8,8.4
year2016,,9.3,1
year2016,4.6,5.5,5.6
year2016,9.4,18.1,10.4
year2016,3.6,4.4,4.6
year2016,7.4,13.7,8.4
year2016,0,11.9,1
year2016,6.5,12.9,7.5
year2016,8.6,19.6,9.6
year2016,3.3,11.9,4.3
year2016,6,12,7
year2016,2.3,4.1,3.3
year2016,9,17.7,10
year2016,4.7,13.4,5.7
year2016,8.8,17.1,9.8
year2016,6,12.1,7
year2016,2.5,12.9,3.5
year2016,0,11.1,1
year2016,5.5,12.1,6.5
year2016,2.9,9,3.9
year2016,6.3,17.5,7.3
year2016,4.8,11.4,5.8
year2016,0,17.4,1
